OtonErmenc: Naslov4. Zalozba2 2008, ISBN 8-25-95-4-9458502 | 10
OtonErmenc: Naslov50. Konferenca22: 315-315 | 1
ZdenkaJelenc, TadejVencelj, OtonErmenc, EmilOstan, VidaGolob, RozalijaAntolin, AnaLeban, DarjaErmenc, SimonaGolob, SimonaVencelj: Naslov19. Revija7 17(40): 66-76 (2006) | 0+4/5
OtonErmenc, ZoranCevc, BarbaraFink, OlgaHanc: Naslov12. Konferenca2: 223-227 | 0+3/4
HildaGolob, SimonTominc, UrbanRavnikar, GabrijelaMakovec, DragoHanc, PavelMakovec, OtonErmenc, GabrijelaKobal: Naslov40. Revija15 76(51): 37-48 (2012) | 0+3/4
OtonErmenc, NadaJelenc, KatjaTominc: Naslov26. Revija9 53(54): 162-168 (2014) | 0+2/3
OtonErmenc, UlaIvnik, LjuboUrh, TanjaPirc: Naslov2. Revija1 28(12): 103-120 (2012) | 0+1/2
HildaFink, OtonIvnik, KarelHanc, BojanKobal, DragoHanc, OtonErmenc: Naslov34. Konferenca12: 64-75 | 0+1/2
KatjaErmenc, EmilRavnikar, NikoErmenc, OtonErmenc, RomanPirc, KarelOstan, TanjaNovak: Naslov14. Konferenca4: 486-498 | 0+3/7
FranckaDivjak, IvanTominc, UrbanGolob, OtonOstan, ZdenkaNovak, OtonErmenc, FranciSetnikar: Naslov23. Konferenca8: 434-437 | 0+3/7
PavelBevk, NikoPirc, OtonErmenc, LavraKobal, SimonJelenc, RozalijaOstan, OlgaKobal: Naslov48. Konferenca21: 409-422 | 0+3/7
BojanVencelj, RozalijaCevc, OtonErmenc, KatjaNovak, RomanRavnikar: Naslov27. Revija10 24(19): 459-469 (2015) | 0+2/5
OtonErmenc, NikoAntolin, EmilCevc, NadaAntolin, NadaUrh, KarelRavnikar, HinkoPirc, KatjaDivjak: Naslov20. Konferenca7: 358-375 | 0+3/8
CvetkoJelenc, GabrijelaJelenc, OtonErmenc, AnaGolob, NadaPirc, BarbaraJelenc, EvaSetnikar, OlgaDivjak, VidMakovec: Naslov11. Konferenca1: 407-419 | 0+1/3
GorazdFink, OtonErmenc, IvanUrh, TadejCevc: Naslov43. Konferenca19: 268-269 | 0+1/4
BarbaraIvnik, DarjaZajc, JanezTominc, OtonErmenc, OtonMakovec, ZdenkaJelenc, KatjaNovak, OtonPirc, LjuboCevc: Naslov33. Revija13 72(14): 337-354 (2010) | 0+2/9
OtonErmenc, CvetkaOstan, DragoBevk, EmilTominc, NikoVencelj: Naslov17. Konferenca6: 406-417 | 0+1/5
CvetkaBevk, HildaLeban, UrbanUrh, FranciSetnikar, OtonErmenc: Naslov30. Konferenca11: 218-218 | 0+1/5
NadaJelenc, LavraHanc, AntonBevk, ZoranVencelj, OtonErmenc, ZoranNovak: Naslov35. Konferenca13: 180-191 | 0+1/6
VidDivjak, DragoPirc, OtonErmenc, KatjaHanc, KatjaErmenc, HinkoIvnik, BojanRavnikar: Naslov36. Konferenca14: 371-380 | 0+1/7
UlaRavnikar, VidaIvnik, ZoranNovak, NikoGolob, MarjanHanc, OtonErmenc, UlaIvnik, FranckaCevc: Naslov13. Konferenca3: 384-390 | 0+1/8
RozalijaDivjak, KarelNovak, IvanTominc, LavraPirc, ZoranErmenc, EvaAntolin, OtonErmenc, MarjanVencelj: Naslov39. Konferenca16: 186-191 | 0+1/8
UlaKobal, OtonErmenc, PetraBevk, LavraVencelj, SimonJelenc, KarelAntolin, OtonOstan, NikoGolob, PetraMakovec, LjuboHanc: Naslov38. Konferenca15: 86-97 | 0+1/10
